id,ita-IT,ger-DE,eng-GB
9af701072b643b5006a48bb26dd7f8e7,"Concorsi pubblici",,
aa23c3deaa39b3c15fc637ea206ab442,"Comparto contrattuale",,
de71e67e6432e58882113c3f7f75b958,"Autonomie locali",,
61c7460e3d0b6bdc405414c09ea8d554,Ricerca,,
d29c61cfca3e2a2f245db619027413f5,Sanità,,
77cc32c274259f04bf17dd9b64473531,Scuola,,
dccb32bf9d6f720da8a05183c6a47b07,Destinatari,,
601240fc191245ea19ad32b84f784825,"Iscritti ai centri per l’impiego",,
df9119214d232c07c5a34425b0cf94b8,"Iscritti alla legge 68/1999",,
46cda56470d9cd7aaba119a7e187903b,"Personale Provincia autonoma di Trento",,
423dc8b02eb5cd1a99d6f0b368989f6b,"Forma contrattuale",,
67a165d7cc0083b472941ba1feccc7ac,"Contratto di collaborazione coordinata e continuativa",,
fb2afb67a9e561a1f7e24999a60992ce,"Contratto di formazione e lavoro",,
e625a786f30eda87eb0028cef398671c,"Contratto di lavoro a tempo determinato",,
1a24fde5a2956ec23b390c23518cc88b,"Contratto di lavoro a tempo indeterminato",,
328d60431e7cc44bf4591eea45ed9fc4,"Contratto di lavoro autonomo",,
5aba418b080b07d79664c5234a80b81d,"Contratto di prestazione occasionale",,
c81ed9fc04980e896f841b8d530089a9,"Contratto di somministrazione",,
cb8f477cc899e26a982a68c3ac120de4,"Indirizzo o ambito",,
8f61abcb8864ab1877a57a879782dfa5,Agronomico-forestale-ambientale,,
30d8717aaffc6c4ca7ce9fc4c50a0b5a,Amministrativo-comunicazione,,
321526bc745c75cd567ea48dc968a545,Amministrativo-contabile,,
4c506ecf053169c68e58f824f74c9517,Amministrativo-organizzativo,,
6b137ba04701105d8fe04060e26910cf,Economico-finanziario,,
69a961fce9fe73a4dd71cd53c42ed208,Formativo,,
b0237f58f2adedf48b55002c5da6f547,Museale,,
6a1546f919809bb5eeb31c7b306af6b3,"Socio assistenziale-politiche del lavoro",,
3c1e9d21e1287713f68f3510e4d637fc,Statistico-informatico,,
ef3745c07b0a0dc70e39910382d2fbe2,Storico-culturale,,
624b5579f3b3fb4f02f204332e8a3afe,Tecnico,,
03913bbe4fc12489e0c8d81ca9ff331c,"Modalità di valutazione",,
e6720b2bf8b1b2c62f45270cc4c06bb6,Colloquio,,
e3242b24837a1d221def8493d2ea5048,"Corso di formazione",,
d76e5a3b97ae084986c721c4cb4260b4,Esami,,
67e872acd7b7e20b419ba95eb0dd1e95,Titoli,,
2c5b4ce79462fdab95c9f8830969e28b,"Qualifica/figura professionale",,
89d8a15b28ed44a43e2aacb35744920f,"Area non dirigenziale",,
1a0cc1569d35dd406a2f9ef190e95643,"Categoria A",,
30ab5ec66cc877e52dcb95a2146e0aad,"Addetto ai servizi ausiliari",,
b404f56b94cb68c91b1f4a14f163a4dc,"Addetto ai servizi socio-assistenziali",,
73326f56f07e85872cd67af57d1232e8,Ausiliario,,
8103f589564fdfbed5feebe08c230daa,Operaio,,
484ef33eea0147bb849d9056eafa6d83,"Operatore d'appoggio negli asili-nido e nelle scuole dell’infanzia",,
86d2d1da1872e7ec0dff21cc99f04d6b,"Categoria B livello base",,
8764abe7b690a298ce701cf1e981ee7e,"Aiuto cuoco",,
a9ca80f4836ebb24858b856d213f78e5,"Autista di rappresentanza",,
138a3f96e518533708c7e2fdb71afe82,"Cameriere ex IPAB",,
746de04f53cdc2998f939f0c3d1f7b7d,Centralinista,,
fe101f476b01be43723a26f7129e29b2,"Operaio qualificato nei vari mestieri",,
aba4123aecd2eca6eade48bdd7c8e23e,"Operatore amm.vo ad es.",,
35886a572dc38c399c98a961a22845e5,"Operatore dei servizi ausiliari",,
38c717844cbc0f8e8fa0a9c74dbd7902,"Operatore dei servizi consiliari - consiglio provinciale",,
3728387c37a3e22635e452aca7d0a37c,"Operatore socio-assistenziale",,
ec1fc6f69bbfaadf4a84de78c60d4af6,"Operatore specializzato parrucchiere ex IPAB",,
cdbe3aaa2205990316347ba0935a566e,"Operatore tecnico di laboratorio ex IPAB",,
7d0b20125bb19528f95715fe667f4016,"Categoria B livello evoluto",,
8c45538700ee2c5cd38af1f26d1037cc,"Autista di rappresentanza ad esaurimento",,
76c92b5d63648be5ed4823efa8c7dfbc,"Centralinista specializzato",,
c1600f7e2debdc2bc062cfae8bc4760b,"Coadiutore amministrativo",,
bf222ec01701c763938fd1230d3f49c4,"Coadiutore catastale",,
12b8583d81fae42ee51b12ef68d166b6,"Coadiutore tavolare",,
a01fd07334f2f3e734ad5c7256724486,"Coadiutore tecnico",,
c2fa45db53549c134e5cabeb774e543b,"Coadiutore turistico",,
e773e2c5ac3bfc44c8e145ab4debbbed,"Coordinatore di servizi",,
a073cf0b03a7ba4c0cff76013fb51c13,"Cuoco specializzato",,
69178b9f5efecd169d38e3c5adf22d07,Massaggiatore,,
ab05c6eac53825304f84f485c0cde395,"Operaio specializzato nei vari mestieri",,
8aed97914081179a4041a4ef1f0e2c48,"Operatore con compiti di vigilanza, esclusi compiti di polizia locale",,
23b68f31f1ad2f002db29c68d331a202,"Operatore di animazione",,
