id,ita-IT,ger-DE,eng-GB
f40db1db76c7908fa7f871209590aa69,"Data themes - eurovocs","Data themes - eurovocs","Data themes - eurovocs"
06bcdd3a81645fbebe102094faef8b05,"Agricoltura, pesca, silvicoltura e prodotti alimentari","Landwirtschaft, Fischerei, Forstwirtschaft und Lebensmittel","Agriculture, fisheries, forestry and food"
9f3accccc97b35892f449f2b39cea55f,"5606 Politica agricola",,
6f4094b2a35ebc0ef96fcd7559badce2,"5611 Produzione e strutture agricole",,
426a1662260d7c9844f8aaf48eaa570c,"5616 Orientamento della produzione agricola",,
7b7b62995bf115b0132c31e1abb4f6e1,"5621 Coltivazione di terreni agricoli",,
779e4ad4b3e4eaf42dbcf598455abf34,"5626 Mezzi di produzione agricola",,
fc71fabc258304e842faaa5481c6568a,"5631 Attività agricola",,
c8c06f66efd7261d0d967833774ae239,"5636 Foresta",,
fe86271e1a45d5e3500b453219a24607,"5641 Pesca",,
b74fec92499d4575c3af454ef460a3b3,"6006 Prodotti vegetali",,
4fc400069f6e22eaa9a450190f9b63ce,"6011 Prodotti animali",,
30878b520a418197fe56075f733e4479,"6016 Prodotti agricoli trasformati",,
d00599f34a37e28e41722e2ad7fb192c,"6021 Bevande e zucchero",,
f8053d93adb7afb6ecdcd4866549a182,"6026 Prodotti alimentari",,
94101697b768230988ddd11035f86373,"6031 Industria agro-alimentare",,
f7f4f4baa2dd6b038cbab8fdab7e11fa,"6036 Tecnologia alimentare",,
1da0948ea2672ddff313eed8c951867b,Ambiente,Umwelt,Environment
1f5e1e3ee9f870420d4cf4e9cb7d6ba4,"5206 Politica dell'ambiente",,
95d44fa52ccc9b6dbd46aca15d66547e,"5211 Ambiente naturale",,
9e1b46ecd7705aedf37df44942583370,"5216 Degrado ambientale",,
0d87f78fb40649c71db80b3bc1ec5a3a,"Economia e finanze","Wirtschaft und Finanzen","Economy and finance"
rmwt87z4cbiehqbvbelqz6g0wcdsnfw4,"1606 Politica economica",,
fn9y13my9fkc3mxnqud3j4mri14n6l42,"1611 Crescita economica",,
azkng11ttiz8gop11rkk8xanz6q8l174,"1616 Regione e politica regionale",,
bp1g4a59lt6e2jwxbul0bwth9o29497j,"1621 Struttura economica",,
0oioi6trbkvo80rivm477h4pcsmtekc2,"1626 Contabilità nazionale",,
y43bcmmczua0pdpo8sdlxoez3zm55jbj,"1631 Analisi economica",,
x39ymmf5ojvqglrfycduu19m2s9rk2l8,"2006 Politica commerciale",,
4kw5ybv3cu1avlfubze8evem92gcy6s2,"2011 Politica tariffaria",,
zhc0a65n8dju7mlnsi6a64oxy7b6lti1,"2016 Scambi economici",,
y09y1jq3qry9m973m0x8citrz0choaje,"2021 Commercio internazionale",,
1co0zbcasvcep48rk8q3vd4sflh9ytpr,"2026 Consumo",,
ykrcpg99pg35bz1sh1brdisi8tc58tkv,"2031 Commercializzazione",,
i2kyfj13ofuwq7mxeoy6kd36b079mar8,"2036 Distribuzione commerciale",,
vd85vvsbtc0bf1cbx7x9gpd1vczl8xp0,"2406 Relazioni monetarie",,
6t2zdkg42l95k69pudm87qw1yl8f8try,"2411 Economia monetaria",,
i05h3hbo4p9lygj0rn1rym5jxndfytps,"2416 Istituti finanziari e di credito",,
an2mmtfzzi3h95f7900fbtfvwg7uahp9,"2421 Libera circolazione dei capitali",,
5wvzanqdw2g1ovwvp2mvuui9a1h31k6n,"2426 Investimenti e finanziamenti",,
2nnqkcq0oj04sx9h3wgseks7i74k4snj,"2431 Assicurazioni",,
1uacgzgj7e616rfumqxboaq6mc3lfix5,"2436 Dinanze pubbliche e politica di bilancio",,
2zt74l4nya6bhnx0gqjnilg7y6nenscs,"2441 Bilancio",,
1lwb33eow9g7y5ngjijpoalhaiyonuw2,"2446 Fiscalità",,
aq5yeb324f93x3skb6tngr6g9sybxvm0,"2451 Prezzi",,
k46ncd0qrnpyela39kp45l7v9j1hqbec,"4006 Organizzazione aziendale",,
1rewqbwxecqinhwkwg7oaqlw1hwsa6mb,"4011 Tipo d’impresa",,
r0rngeo85lurgclnftk536zm3jjlorhi,"4016 Forma giuridica di società",,
e86dpmragx6e19ht9i6r01dahfa7e7ge,"4021 Gestione amministrativa",,
1gr994rfnbuwpsg6bvm4voy576mxo1vm,"4026 Gestione contabile",,
c32onzg8tsf8jnwruq06f6hrax26im39,"4031 Concorrenza",,
3ojfuhwteacm3iue1t4e1uiv6van6zbr,"6806 Politiche e strutture industriali",,
ktpqvkv184kyigacl49ohxq36zfvzt64,"6811 Chimica",,
dba2w8pb4tyrfn43147vsvp4v38r78bl,"6816 Metallurgia e siderurgia",,
7ceqb92rrcno4ozb99fswkpr867uynjk,"6821 Industria meccanica",,
2onh7kzydx6yi6qytfi57oslc1xb9m16,"6826 Elettronica ed elettrotecnica",,
gwk7taxgam22yh4axpgshveh87tost3n,"6831 Edilizia e lavori pubblici",,
56bfk5rx8rqwhk2bypozpfvr1xsijpoc,"6836 Industria del legno",,
s1sv4s3hjztuozakeojinj77snqkqcp1,"6841 Industria del cuoio e dei prodotti tessili",,
o410v9gcvqm85xpibeifqlgrnaob54ua,"6846 Industrie varie",,
96f13ac24261e1fd2cdfc5998e44d2c6,Energia,Energie,Energy
bb90f845066c64636c500a89f1b81d48,"6606 Politica energetica",,
a5d5e5ac47c544d4abed6237e6c80a74,"6611 Industria carboniera e mineraria",,
ff4c11a28e60f30db0fa30a93a6973d8,"6616 Industria petrolifera",,
9ffde64d65e9391501b6a61286117f00,"6621 Industria nucleare ed elettrica",,
df9ae26672beaa229bc17537efbecc3a,"6626 Energia dolce",,
a5d8439bede2b7a954338cf68d93a590,"Giustizia, sistema giuridico e sicurezza pubblica","Justiz, Rechtssystem und öffentliche Sicherheit","Justice, legal system and public safety"
27d96f83b5a228ca646813749612670d,"Governo e settore pubblico","Regierung und öffentlicher Dienst","Government and public sector"
9fd9d2994ef8aacdb0330d07630361fd,"0406 Quadro politico",,
977263d1a4cb697532ff38a5024ac816,"0431 Vita politica e sicurezza pubblica",,
f8b04cb6245884892028a6c2b9295b7f,"0436 Potere esecutivo e amministrazione pubblica",,
4427ae9401dc79da1f5bd33f5038dcc2,"0436 Trasparenza amministrativa",,
7677f00223efb064b2c09ca82318b50b,"0461 Procedura elettorale e voto",,
66156d3e679340d96c7df951d9129bea,"1006 Istituzioni dell'Unione europea e funzione pubblica europea",,
0165e5eb4bf27321b1ef5ff1f617f9c5,"1021 Finanze dell'Unione europea",,
6037ad021c479af5159e7c18a9622c3d,"Istruzione, cultura e sport","Bildung, Kultur und Sport","Education, culture and sport"
8f0caa63545eb6ad229e6917363ed9c7,"2826 Vita Sociale -  tempo libero",,
c68e16e0ec6ed598f1c83f113fdbbf64,"2831 Cultura e religione",,
25a7d8cc8d9de9c19b7d5a15cf7d092c,"3206 Istruzione",,
9200e6134c405fe8ddc5c0a3de4cec57,"3211 Insegnamento",,
9b684d9308acb9e6248cde9213b9567f,"3216 Organizzazione scolastica",,
60ff59c7bd2b60257a86b0c6fe2c2bc1,"3221 Documentazione",,
db73123a2710bcb241e018b07152c24c,"3226 Comunicazione",,
007ef4bbc768f9ec6694e3a10539193b,"3231 Informazione ed elaborazione dell'informazione",,
7ff47fc131fc163daf67f823e48f464b,"3236 Informatica e trattamento dei dati",,
82ee53be42fd1d65c4fa44af3f861100,"Popolazione e società","Bevölkerung und Gesellschaft","Population and society"
2536f081cbd93b52700def9768a7dcd6,"2806 Famiglia",,
0db2efd4e3b63797c940aac34c98f7de,"2811 Migrazione",,
2ef9fcd69643bc98b045f22e9a0467ed,"2816 Demografia e popolazione",,
67a27998be3b592961ecd7f081d99ab9,"2821 Quadro sociale",,
108ebf9321105e5fadaabe1b1af5a9da,"2826 Vita sociale",,
398707e13ef397cc4f800cd131bbe068,"2836 Protezione sociale",,
44788c59f0651ec3922f0503fa88c0ed,"2846 Urbanistica d edilizia",,
39b680148a8e0ad54f683ab4905b5130,"4406 Occupazione",,
242af7dba5be623ca4d50e3a69f130a2,"4411 Mercato del lavoro",,
ba2e04e3898838de1519f82f5c33c046,"4416 Condizioni e organizzazione del lavoro",,
c399a6ee10466b0ecc1cbe5707e678da,"4421 Amministrazione e remunerazione del personale",,
87f8ada3347b5f8d15bb357bf366e837,"4426 Rapporti di lavoro e diritto del lavoro",,
587c7a06df369bbbedd86bf9c1da1103,"Regioni e città","Regionen und Städte","Regions and cities"
dae9622744ceddc7404f8ce9036a39c6,"7206 Europa",,
2f3994940af15e8a4bcc001ab8166647,"7211 Regioni degli Stati membri dell'Unione Europea",,
02c1aa421fce4dc64aa52207764f8291,"Regioni italiane",,
07d4f5fdd693d9b75fa150314f79af62,"Provincia autonoma di Trento",,
