id,ita-IT,ger-DE,eng-GB
a2b6dff1f3b039712e5c6bb43a1fb673,Eventi,Veranstaltungen,Events
2468bfe209e8f4c3a4db7b59f2f64414,"Target utenti",Zielgruppe,"Target users"
4afbc65c32c044f08e9199b46c392d77,"Età utenti",Altersgruppen,"Users age"
b1fb6cf2e54603f68d14a1fe91b8e271,"0-3 anni","0-3 Jahre","0-3 years"
d0528d3172008adbfd13aef4b6764083,"11-14 anni","11-14 Jahre","11-14 years"
24c293490cb6324877ecb10226570405,"14-17 anni","14-17 Jahre","14-17 years"
0ede0073c0e20c8868047ea0eb573181,"18-21 anni","18-21 Jahre","18-24 years"
0144946e99438e39ad42ad38a16fc9aa,"3-5 anni","3-5 Jahre","3-5 years"
ae05b8d392ed04444daf2d28369355e8,"6-8 anni","6-8 Jahre","6-8 years"
b115669c9b52f16f2e88615aef1b8f96,"9-11 anni","9-11 Jahre","9-11 years"
87a2d17fb53cacb0d6f092593ecdae4a,"Oltre 65 anni","Über 65 Jahre","over 65 years"
fb02904455c40fa1375d39783ad3dd9b,"Fasce generali di popolazione","Allgemeine Bevölkerungsgruppen","General population groups"
8dcb7cb9ec9b7244556499df5089b3e8,Adulti,Erwachsene,Adults
75f34b4cc6f3df60eb5787ba49dcad7f,Anziani,Senioren,"Elderly people"
41fa0399ec8f928fc6064c5b732830e2,Bambini,Kinder,Children
d70af0701ecf8cee2686c7844c1453bf,Famiglie,Familien,Families
1b52665a286c8f0a3d7e01d052f0ce8f,Giovani,Jugendliche,Young
4c6ccc30895454b2d9174a9dbd5f5ecb,"Tematiche eventi","Themen der Veranstaltung","Thematic events"
713354b882632278925a7e64c5237507,"Convegno / Conferenza",,
cb91ded4193044f742e8453d8341200c,"Evento culturale","Kulturelle Veranstaltung","Cultural event"
8a54645a93c508a801579a75bd6a5c10,"Conferenza e summit","Konferenz, Treffen","Conference and summit"
6b221f4c6fd4247a34b7c423b7d4415b,Congresso,Kongress,Congress
2c94a5c65e8b12e54a993da5172ecc0f,Convegno,"Tagung / Konferenz",Conference
00306cbed8aeb40925efde7b2479a6c1,Vertice,Summit,Summit
