id,ita-IT,ger-DE,eng-GB
fe49fbb2189273062c03102081ca0425,Licenze,Lizenzen,Licenses
86b72200b7051ec94b74717817887393,Attribuzione,Namensnennung,Attribution
86de94081e3e499c80c561bdec2f75b6,"Creative Commons Attribution 1.0 Generic (CC BY 1.0)","Creative Commons Attribution 1.0 Generic (CC BY 1.0)","Creative Commons Attribution 1.0 Generic (CC BY 1.0)"
d836d1acdb5380cc7f6cff35496faba2,"Creative Commons Attribution 2.0 Generic (CC BY 2.0)","Creative Commons Attribution 2.0 Generic (CC BY 2.0)","Creative Commons Attribution 2.0 Generic (CC BY 2.0)"
4a07370e054f363b7778e459f4bee435,"Creative Commons Attribution 2.5 Generic (CC BY 2.5)","Creative Commons Attribution 2.5 Generic (CC BY 2.5)","Creative Commons Attribution 2.5 Generic (CC BY 2.5)"
d1dc13bd7dcf9b55d3296df805db5007,"Creative Commons Attribution 3.0 Unported (CC BY 3.0)","Creative Commons Attribution 3.0 Unported (CC BY 3.0)","Creative Commons Attribution 3.0 Unported (CC BY 3.0)"
cd32b56663528a3431421358ed67bd25,"Creative Commons Attribution 4.0 International (CC BY 4.0)","Creative Commons Attribution 4.0 International (CC BY 4.0)","Creative Commons Attribution 4.0 International (CC BY 4.0)"
ad87cd888d900ce8515ac778480555df,"Creative Commons Attribuzione 2.0 Italia (CC BY 2.0 IT)","Creative Commons Attribution 2.0 Italien (CC BY 2.0 IT)","Creative Commons Attribuzione 2.0 Italia (CC BY 2.0 IT)"
c8374882bcea25eae1742a8cb394045f,"Creative Commons Attribuzione 2.5 Italia (CC BY 2.5 IT)","Creative Commons Attribution 2.5 Italien (CC BY 2.5 IT)","Creative Commons Attribuzione 2.5 Italia (CC BY 2.5 IT)"
7724d987abf34d3deb454648d81f0e2b,"Creative Commons Attribuzione Italia 3.0 (CC BY 3.0 IT)","Creative Commons Attribution Italien 3.0 (CC BY 3.0 IT)","Creative Commons Attribuzione Italia 3.0 (CC BY 3.0 IT)"
8250641b5517e6e9414e0c44e413e565,"Italian Open Data License 2.0 (IODL 2.0)","Italian Open Data License 2.0 (IODL 2.0)","Italian Open Data License 2.0 (IODL 2.0)"
bb7ef1b7bbb7a8a8da1e322dfe3277e5,"Open Data Commons Attribution License (ODC_BY)","Open Data Commons Attribution License (ODC_BY)","Open Data Commons Attribution License (ODC_BY)"
064e0bbefae79ac0c45fc6af2fa8bda0,"Dominio pubblico",Gemeinfrei,"Public domain"
2d0c76fc73f9202f5322c0b78f3f79d7,"Creative Commons CC0 1.0 Universal - Public Domain Dedication (CC0 1.0)","Creative Commons CC0 1.0 Universal - Public Domain Dedication (CC0 1.0)","Creative Commons CC0 1.0 Universal - Public Domain Dedication (CC0 1.0)"
2439a33201aed43c1e1966facf84451c,"ODC Public Domain Dedication and License (PDDL)","ODC Public Domain Dedication and License (PDDL)","ODC Public Domain Dedication and License (PDDL)"
b21964d35456087f60331146288b6f33,"Effetto Virale (a.k.a. Condivisione allo stesso modo)","Viral Effect (aka Share-Alike)","Viral Effect (a.k.a. Sharing alike)"
919a5046020985858db5414a2edb802d,"Creative Commons Attribution - ShareAlike 1.0 Generic (CC BY-SA 1.0)","Creative Commons Attribution - ShareAlike 1.0 Generic (CC BY-SA 1.0)","Creative Commons Attribution - ShareAlike 1.0 Generic (CC BY-SA 1.0)"
b8e2b3df960be3a598ee099f677549d3,"Creative Commons Attribution-ShareAlike 2.0 Generic (CC BY-SA 2.0)","Creative Commons Attribution-ShareAlike 2.0 Generic (CC BY-SA 2.0)","Creative Commons Attribution-ShareAlike 2.0 Generic (CC BY-SA 2.0)"
33265bfd28ff7daf6a5335e2e91ac83e,"Creative Commons Attribution-ShareAlike 2.5 Generic (CC BY-SA 2.5)","Creative Commons Attribution-ShareAlike 2.5 Generic (CC BY-SA 2.5)","Creative Commons Attribution-ShareAlike 2.5 Generic (CC BY-SA 2.5)"
713f87b9964cef031d8e2bb128cde985,"Creative Commons Attribution-ShareAlike 3.0 Unported (CC BY-SA 3.0)","Creative Commons Attribution-ShareAlike 3.0 Unported (CC BY-SA 3.0)","Creative Commons Attribution-ShareAlike 3.0 Unported (CC BY-SA 3.0)"
5abe43a2719faf0c77cfdf1002c53e18,"Creative Commons Attributon–ShareAlike 4.0 International (CC BY-SA 4.0)","Creative Commons Attributon–ShareAlike 4.0 International (CC BY-SA 4.0)","Creative Commons Attributon–ShareAlike 4.0 International (CC BY-SA 4.0)"
c4a08f885873d7d6b6a603f22f8d0a2b,"Creative Commons Attribuzione - Condividi allo stesso modo 2.0 Italia (CC BY-SA 2.0 IT)","Creative Commons Attribution-ShareAlike 2.0 Italien (CC BY-SA 2.0 DE)","Creative Commons Attribuzione - Condividi allo stesso modo 2.0 Italia (CC BY-SA 2.0 IT)"
8b490c6a0e3e3d84452aac3880fe360b,"Creative Commons Attribuzione - Condividi allo stesso modo 2.5 Italia (CC-BY-SA 2.5 IT)","Creative Commons Attribution - Share Alike 2.5 Italien (CC BY-SA 2.5 IT)","Creative Commons Attribuzione - Condividi allo stesso modo 2.5 Italia (CC-BY-SA 2.5 IT)"
3b92626a0e1c3c80bb303d0e4b67e378,"Creative Commons Attribuzione - Condividi allo stesso modo 3.0 Italia (CC BY-SA 3.0 IT)","Creative Commons Attribution - Share Alike 3.0 Italien (CC BY-SA 3.0 IT)","Creative Commons Attribuzione - Condividi allo stesso modo 3.0 Italia (CC BY-SA 3.0 IT)"
d51fb8f3d5bdb04a1476ced510a58eed,"GNU Free Documentation License 1.3 (GFDL 1.3)","GNU Free Documentation License 1.3 (GFDL 1.3)","GNU Free Documentation License 1.3 (GFDL 1.3)"
ed651b9ec16a9556130857417a6bad4b,"Italian Open Data License 1.0 (IODL 1.0)","Italian Open Data License 1.0 (IODL 1.0)","Italian Open Data License 1.0 (IODL 1.0)"
c22c15b60230341be9cb88ce286a0753,"Open Data Commons Open Database License 1.0 (ODbL)","Open Data Commons Open Database License 1.0 (ODbL)","Open Data Commons Open Database License 1.0 (ODbL)"
17dd6e9d8e93098745a1a42548f50780,"Effetto Virale / copyleft non compatibile",ShareAlikeCopyleftNonComp,ShareAlikeCopyleftNonComp
a7a6678d8b1a4ee405d5b4588f27a917,"Against DRM (2.0)","Against DRM (2.0)","Against DRM (2.0)"
9f49934dcc60b2c91e514478fad38665,"Licenza proprietaria",Urheberlizenz,"Proprietary license"
5408e8fdb24d4c5d89b249db18154d65,"Licenza sconosciuta","Unbekannte Lizenz","Unknown license"
ef710809b3e1f8fb0d18bc98ce2d4855,"Non opere derivate","Keine abgeleiteten Werke","Unknown license"
45e88e6d6ae5516c88aaa83ab7ee841a,"Creative Commons Attribution-NoDerivs 2.0 Generic (CC BY-ND 2.0)","Creative Commons Attribution-NoDerivs 2.0 Generic (CC BY-ND 2.0)","Creative Commons Attribution-NoDerivs 2.0 Generic (CC BY-ND 2.0)"
10dd503a4a6410420d56d5e6553a7399,"Creative Commons Attribution-NoDerivs 2.5 Generic (CC BY-ND 2.5)","Creative Commons Attribution-NoDerivs 2.5 Generic (CC BY-ND 2.5)","Creative Commons Attribution-NoDerivs 2.5 Generic (CC BY-ND 2.5)"
94ab55479e81c5f5cc486fd369d67b13,"Creative Commons Attribution-NoDerivs 3.0 Unported (CC BY-ND 3.0)","Creative Commons Attribution-NoDerivs 3.0 Unported (CC BY-ND 3.0)","Creative Commons Attribution-NoDerivs 3.0 Unported (CC BY-ND 3.0)"
8b8d380da0f77b7c2a01b0433a6f34c3,"Creative Commons Attribution–NoDerivs 4.0 International (CC BY-ND 4.0)","Creative Commons Attribution–NoDerivs 4.0 International (CC BY-ND 4.0)","Creative Commons Attribution–NoDerivs 4.0 International (CC BY-ND 4.0)"
f8b5a25efc655f90f43c2f5ac8a9fcc8,"Creative Commons Attribution–NoDerivs-NonCommercial 1.0 Generic (CC BY-ND-NC 1.0)","Creative Commons Attribution–NoDerivs-NonCommercial 1.0 Generic (CC BY-ND-NC 1.0)","Creative Commons Attribution–NoDerivs-NonCommercial 1.0 Generic (CC BY-ND-NC 1.0)"
6810d1d03ec0bb9bda43f3170bdac2c2,"Creative Commons Attribution–Non opere derivate 2.0 italia (CC BY-ND 2.0 IT)","Creative Commons Attribution–keine abgeleiteten Werke 2.0 Italien (CC BY-ND 2.0 IT)","Creative Commons Attribution–Non opere derivate 2.0 italia (CC BY-ND 2.0 IT)"
9173bf8df183e8e6029bc4db6861c29d,"Creative Commons Attribution–Non opere derivate 2.5 Italia (CC BY-ND 2.5 IT)","Creative Commons Attribution–keine abgeleiteten Werke 2.5 Italien (CC BY-ND 2.5 IT)","Creative Commons Attribution–Non opere derivate 2.5 Italia (CC BY-ND 2.5 IT)"
0fb191bc551b14a80b7166ef9aad8b1d,"Creative Commons Attribution–NonDerivs 1.0 Generic (CC BY-ND 1.0)","Creative Commons Attribution–NonDerivs 1.0 Generic (CC BY-ND 1.0)","Creative Commons Attribution–NonDerivs 1.0 Generic (CC BY-ND 1.0)"
c0dc1c9d4962b8d342b5ff02a13ad453,"Creative Commons Attribuzione–Non opere derivate 3.0 Italia (CC BY-ND 3.0 IT)","Creative Commons Attribuzione–keine abgeleiteten Werke 3.0 Italien (CC BY-ND 3.0 IT)","Creative Commons Attribuzione–Non opere derivate 3.0 Italia (CC BY-ND 3.0 IT)"
ddee4330f7a6e97633aef05de68f243e,"Solo uso non commerciale","Nur für nicht-kommerzielle Zwecke","Only commercial use"
678fea2356f2c99b1509f64e447675f0,"Creative Commons Attribution - NonCommercial 1.0 Generic (CC BY-NC 1.0)","Creative Commons Attribution-NonCommercial 1.0 Generic (CC BY-NC 1.0)","Creative Commons Attribution - NonCommercial 1.0 Generic (CC BY-NC 1.0)"
