id,ita-IT,ger-DE,eng-GB
c3966d6effdf4528f0b9c288dfb7f0b5,Luoghi,Orte,Places
218526bb2307bc74fe89c68c869162e6,Ambienti,,
2a74db11a8e99415244affc51833aee4,"Ambienti aridi",,
a3e6407feede620dc30c2360d396b462,"Boschi ripariali",,
debbdf055ebcc4e99456f3a859d453c6,"Corsi d'acqua",,
f05a3eacc935e76fb595d74fdb9fa2f5,"Prati umidi",,
ad57dfbfd04e23c6f55de0947b115d01,"Rive dei laghi",,
d7214d045fdef5199a5d4fdc0c19aedd,Stagni,,
ded87005aa497755dc6014b515095a43,Torbiere,,
6f2a17f34813bd636a755da232020bcb,"Categorie prevalenti","Verfügbare Kategorien","Prevailing categories"
a7db2d4451cf609d4828f58d1c8012bb,arte,Kunst,Art
64e14456d2805341961939cbbcf4f542,filosofia,Philosophie,philosophy
949965652517aecdf38562617c7b23a8,"ingegneria civile e architettura","Bauingenieurwesen und Architektur","civil engineering and architecture"
baf240474e369f5fc96b89f236b9d884,"ingegneria dell'informazione",Informationstechnik,"information Engineering"
422e3b68363683ae7ed1cb224d0b0c96,"ingegneria industriale",Wirtschaftsingenieurwesen,"industrial engineering"
4782242a86ec2197b42eb21e00edf48c,linguistica,Linguistik,linguistics
61860e24311b627043b706ad11ec666b,pedagogia,Pädagogik,pedagogy
b243b71ef744377662cb1cbc54ef78ca,psicologia,Psychologie,psychology
fdc671169748824d74ff99beb3d68dad,"scienze agrarie",Agrarwissenschaften,"agricultural science"
c469407a01fbd8d4005b1157f92ef06d,"scienze biologiche",Biowissenschaften,"biological science"
b3c7df0e52e3d97ed2f7b80c16bc6275,"scienze chimiche",Chemiewissenschaften,"chimical science"
1cd525315cb8de04111e233854c5b89d,"scienze dell'antichità","Antike Wissenschaften","sciences of antiquity"
49b860aeeb97cdb20adee1451fa95da2,"scienze della terra",Geowissenschaften,"Earth Science"
d6fbca5cd6b752a0e8ab0c594af88c56,"scienze economiche e statistiche","Volkswirtschaft und Statistik","economic and statistical sciences"
550067c597ef598bff3a7c5924b34273,"scienze filologico-letterarie","Philologische und literarische Wissenschaften","philological-literary sciences"
c68f1965467de77409f999d19412c9fc,"scienze fisiche","Physikalische Wissenschaften","physical sciences"
fee7389e72d0fa6f7d40b45345a0acc8,"scienze giuridiche",Rechtswissenschaften,"legal sciences"
edbdb9c0b5754a55ae2e1b15681879fd,"scienze informatiche",Computerwissenschaften,"computer science"
abad1580fed57eaeeae71575ad24af77,"scienze matematiche","Mathematische Wissenschaften","mathematical sciences"
af0c908cfec5b6de6ecb17bd9232259d,"scienze mediche","Medizinische Wissenschaften","medical science"
179d393e8d3a7cd705aa29b5e4842923,"scienze politiche e sociali","Politik- und Sozialwissenschaften","political and social sciences"
68b0bccaaf719cc2c074399ce0f25702,"scienze storico-artistiche","Geschichts- und Kunstwissenschaften","historical-artistic sciences"
1e750f8958e076ea70df15207872e5a5,"scienze veterinarie",Veterinärwissenschaften,"veterinary sciences"
26dca52b15d96ca4d8e617e5a59e8e73,storia,Geschichte,"history science"
1ac031fc8a7bd67dd977c6ce89f43949,"studi orientali",Orientalistik,"oriental studies"
d19d711861ad54a80e63f6b12299f789,"Classificazione aree protette",,
49f6592ba70bbf971f865b9438fe2ddd,"Biotopo non istituito",,
3af43217d83e483b8f6f524701b82793,"Riserva Naturale Provinciale",,
f0dd184fe955ca98bd07fc384d04ecc4,"Riserva locale",,
b025041b819fa18de3caa97090ec8366,"Sito di Importanza Comunitaria - SIC",,
f73e88588e7f77e7fc0c279a26a7b46f,"Zona Speciale di Conservazione - ZSC",,
c22a1e0e54597ddb340d50bb0994f24a,"Zona di Protezione Speciale - ZPS",,
9a0d21c33dcc44dc31b128377e085a4e,"Database dei luoghi",,
ce60ccd64d2a97a04495766aca0557f4,"Anagrafe delle biblioteche italiane - codice ISIL",,
254fe6581bbd0ad0243f0971673889e9,Natura2000,,
4f39fd353e2f44a85625509de26038b1,"OPENDATA Ministero della cultura (ex DBUnico)",,
d1526e3269c0874ad5938d943c5c201c,"Riserve locali",,
2535f9b832c44c2ccf949c9d19745cc0,"Riserve provinciali - Biotopi non istituiti",,
a831f1c0d9dbdbb0d7771fc7ad01f543,"Tipi di luogo","Art von Orten","Types of places"
9481690ad8fdacce14d9b6cd5bc11f1c,"Aree archeologiche","Archäologische Gebiete","Archaeological areas"
c694b002ed88c189a55635cb1b77b082,"Area archeologica","Archäologisches Gebiet","Archeological area"
c04ed94b9dcdf061515267453554cf1d,"Sito archeologico","Archäologische Stätte","Archaeological site"
9985e52a234ed814d04a26cbdadf68c3,"Bellezze naturali",Naturschönheiten,"Natural beauties"
0d9ae42c06129be9ccd63ba9224a56fe,"Corso d'acqua",Wasserlauf,River
f13fb03b6810c3c17e93c8b113ad351b,"Costa marittima",Meeresküste,"Maritime coast"
081f7cd2e45c50ac017bb96213b1639f,"Foresta e bosco","Wald und Gehölz","Forest and wood"
40e1949b3c2cb714161966da9fe40999,"Ghiacciaio e circo glaciale",Gletscher,
e889c070f2ebcb5022622216ba4fb772,Lago,See,Lake
870d84967b4c0d50df70ddf7ff406b3b,Montagna,Berg,Mountain
d8c584ab9d05095a36c871773b490587,"Riserva naturale",Naturschutzgebiet,"Natural reserve"
387ddd9180b46d2868f1b2e2bc63a1bd,Vulcano,Vulkan,Volcano
81e6d5d77e5a6d2965f34e8edd5c1e9e,"Centri istituzionali e amministrativi","Öffentliche Ämter und einrichtungen",
b383e3b22667a8241d184bbbd425f436,Contrada,Ortsteil,
4099bb60de03b10489d6e96f4c67fe42,"Sede municipale","Sitz des Organs",
3c327475455ada728e9557bc138b6c25,"Sportello per il pubblico",Bürgerschalter,
stazione_polizia_carabinieri,"Stazione di Polizia / Carabinieri","Polizeistation / Carabinieri","Police station / Carabinieri"
cb98e07860d6979a40b43ad8e5cfcfad,Ufficio,Amt,
06d4e85e745b80000d8be6c762f804cc,"Centri per l'assistenza e la tutela sociale","Zentren für soziale Unterstützung und Schutz","Centers for assistance and social protection"
17cfc02458d8d160b746c728a4b3f2e6,Ambulatorio,Sprechzimmer,
ef884e8c957ab9e967e9eca3c48cff92,"Centro di accoglienza",Aufnahmezentrum,"Reception center"
fd57ffeae3de29d4613d61dcd519a88b,Ospedale,Krankenhaus,Hospital
e91b51cf24d16fd90a5f14e5704d0814,Ospizio,Altersheim,
9ebae2d16703abb2d730e574d2f0d58e,"Centri per la cultura",Kulturzentrum,"Centers for culture"
a6ff5846955e76c22f90fb6a56bc143f,Acquario,Aquarium,Acquarium
da6723a2bc8d6f2813d76a0ebe24e0bd,Anfiteatro,Amphitheater,Amphitheater
b50fc20f6bfbea54dd59d6ece2ebb1af,Archivio,Archiv,Archive
fe8edfa5d3cc4bab7ef3c6e71fdb301c,"Asilo nido",Kinderhort,Nursery
66b477c2df3e7ef89a560a6c9b77b873,Auditorium,Auditorium,Auditorium
