id,ita-IT,ger-DE,eng-GB
a8af5a6c5a02d72698cb40753127e244,Organizzazione,Organisation,
025658acdbc02a2360abb936803cd491,COFOG,COFOG,
3be1bfefaea11e6c63a9f4600b3654dd,"01.1.1 - Organi esecutivi e legislativi",,
1443648c322380b42e374da39817a94c,"01.1.2 - Affari finanziari e fiscali",,
965e4f470256fc86a4922e260bea9110,"01.1.3 - Affari esteri",,
15c045541dd12634b0f09394d225dbfa,"01.2.1 - Aiuti economici ai paesi in via di sviluppo ed in transizione",,
1ef3b3a027115ece07da99a8e1ded67c,"01.2.2 - Aiuti economici erogati attraverso organismi internazionali",,
5de05959983d2a88b821fbc7fec237f6,"01.3.1 - Servizi generali del personale",,
aa21fe8c6d6ce6dd6571f917697fc528,"01.3.2 - Servizi di programmazione",,
14e5c308c88927abfc8f39a305083e0c,"01.3.3 - Servizi statistici",,
522a2f33dd10a1b41981c2b05c20bd35,"01.3.4 - Altri servizi",,
d5bc9a594555d030782d7c7ce30503ff,"01.4.1 - Ricerca di base",,
c23730d6839d056144c6a95590d91ec1,"01.5.1 - Ricerca & Sviluppo per i servizi pubblici generali",,
41d264a2e9d991310fa36d4778a0e4e3,"01.6.1 - Servizi pubblici generali non altrove classificati",,
c8a4678ed1991ec15681bafd746b0393,"01.7.1 - Transazioni relative al debito pubblico",,
913d3f3e92bbf46b7f0b2226909a6632,"01.8.1 - Trasferimenti a carattere generale tra diversi livelli di amministrazione",,
4a741cbe058809e8f4ead2773d663609,"02.1.1 - Difesa militare",,
9f8ce6f7d3c802f85ea789f55e718938,"02.2.1 - Difesa civile",,
6eefdf151c331746765a0560de631a17,"02.3.1 - Aiuti militari all'estero",,
6507daff323fef0784c83bcd3a27d4a0,"02.4.1 - Ricerca & Sviluppo per la Difesa",,
335246d62d369e52f3f703464b392efc,"02.5.1 - Difesa non altrove classificata",,
da97a1126c48d1800b1a5e43fbf18930,"03.1.1 - Servizi di polizia",,
d0d59d7eb9270809af86cc296f1d14b9,"03.2.1 - Servizi antincendio",,
af1136de559e1150aad680a0d4ccb09a,"03.3.1 - Tribunali",,
cab33ddf98492967135e498f281c8b87,"03.4.1 - Carceri",,
0e69c7573bf39fc00ed397fe217f2f1f,"03.5.1 - Ricerca & Sviluppo connessi all'ordine pubblico e sicurezza",,
9df0a6763db59dd9726868a00e419abc,"03.6.1 - Ordine pubblico e sicurezza non altrove classificati",,
04e17d4872abb26881f30a98c3d1d2dd,"04.1.1 - Affari generali economici e commerciali",,
772c508b82ab9e1bcc5881cd57349a84,"04.1.2 - Affari generali del lavoro",,
5b917540424a0bb36a303b3f41a9801c,"04.2.1 - Agricoltura",,
23d144f3958ee48d4f6799b046e29e3d,"04.2.2 - Silvicoltura",,
8860e0f6f15158866f9982711f914077,"04.2.3 - Pesca e caccia",,
c6cc8867d7efc486e58073c88ab456db,"04.3.1 - Carbone ed altri combustibili solidi minerali",,
fe736caff2343cd76912a51ebd006790,"04.3.2 - Petrolio e gas naturali",,
90c49f46a6ccbe9e944f7907b96122f0,"04.3.3 - Combustibili nucleari",,
12a09f7632a600fa9dfb2283bfb29c4f,"04.3.4 - Altri combustibili",,
e24bae3879f6fc24b4487ea58edd5399,"04.3.5 - Energia elettrica",,
a6d331d2f357ea06ce5027f0e64aa857,"04.3.6 - Energia non elettrica",,
b9a3d08a8ee1ffa54e49c079e44e68cf,"04.4.1 - Attività estrattive di minerali diversi dai combustibili",,
0d26d498e985741f10c72f571175eace,"04.4.2 - Attività manifatturiere",,
d74864b03feeef27d95c7d6163e115f9,"04.4.3 - Attività edilizia",,
dde5d856495187b146036a1185e2d4de,"04.5.1 - Trasporti su strada",,
7159a690c2d36f94687079a98b7632f7,"04.5.2 - Trasporti per vie d'acqua",,
750b7e936728e9d6d5e8888fa59eb000,"04.5.3 - Trasporti su rotaia",,
1f36f8ccc59e5f686163cf428578793d,"04.5.4 - Trasporti aerei",,
9b497d82d02a46ee935e56405bd72549,"04.5.5 - Condotte ed altri sistemi di trasporto",,
1af4ed1298a3c8b05b2c125a8e86ddd0,"04.6.1 - Comunicazioni",,
e4c391e79b2dde268a5824c9cc6a5b6a,"04.7.1 - Distribuzione commerciale; conservazione e magazzinaggio",,
2120027707a303d253788e82db49eff8,"04.7.2 - Alberghi e pubblici esercizi",,
fd4aec47ada4179d9b07d3555039545b,"04.7.3 - Turismo",,
81df8b7887ab7ded2d74e10d3eb26ba7,"04.7.4 - Progetti di sviluppo plurifunzionali",,
8948a86a86b5d9e4ac7bf39928bab74a,"04.8.1 - R&S per gli affari generali economici; commerciali e del lavoro",,
f9f81501151241b897411acc101d29f4,"04.8.2 - R&S per agricoltura; silvicoltura; pesca e caccia",,
cc2b54896594a01b3ac91fd7f7c6eb4f,"04.8.3 - R&S per combustibili ed energia",,
a92fe19232ea2454ba498734123e5e39,"04.8.4 - R&S per attività estrattive; manifatturiere ed edilizie",,
c47aa989c7068ae28f77f31c96632719,"04.8.5 - R&S per trasporti",,
c23ebaf9ff897d48236e405f1266f6d9,"04.8.6 - R&S per comunicazioni",,
7c0bddb3a8060152b3010dd74247effa,"04.8.7 - R&S per altri settori",,
e049d59ab57e49dc150219de2f0554eb,"04.9.1 - Affari economici non altrove classificati",,
75034e515d35fa10b27db74b36ae95ec,"05.1.1 - Trattamento dei rifiuti",,
56c4ebbef1e6a14beb29b5d21a78a619,"05.2.1 - Trattamento delle acque reflue",,
85596e353d7ff83224ae59d475f9ed84,"05.3.1 - Riduzione dell'inquinamento",,
ae44df3a2ee4627ca53421ba051cd5c3,"05.4.1 - Protezione delle biodiversità e dei beni paesaggistici",,
94bbb6ea459cc26d851cd4785cd4c9b7,"05.5.1 - Ricerca & Sviluppo per la protezione dell'ambiente",,
c4ec38ea64e16f51c108c216c5e6f90e,"05.6.1 - Protezione dell'ambiente non altrove classificata",,
cda1d1459c33dd06d37b3b31fd86d6a9,"06.1.1 - Sviluppo delle abitazioni",,
f789a06cf14d3585dc0c81f5a93cf912,"06.2.1 - Assetto territoriale",,
18d2be547b106505c60d8090ae3253ac,"06.3.1 - Approvvigionamento idrico",,
4a2e8f7dc6362829557319a884cc9463,"06.4.1 - Illuminazione stradale",,
40119999755bba666e8701f256b25f8c,"06.5.1 - Ricerca & Sviluppo per abitazioni e assetto territoriale",,
db8b2359219cee824c09b2cd6e77b439,"06.6.1 - Abitazioni e assetto territoriale non altrove classificati",,
7305cf240129250806b8dcf781f61198,"07.1.1 - Prodotti farmaceutici",,
65f70beb046fb89584d2bd7e6fdecd99,"07.1.2 - Altri prodotti sanitari",,
bdab4763736bcba4cfd8252fe4e830c1,"07.1.3 - Apparecchi e attrezzature terapeutiche",,
5632d3e98f98e911b858cd94aa4c44bd,"07.2.1 - Servizi medici generici",,
556defdac1c9717f3e73fbb2163df7f3,"07.2.2 - Servizi medici specialistici",,
