id,ita-IT,ger-DE,eng-GB
1f83c6308b0ab0f316227e8d7af79b41,"Parole chiave generali",,
ff1686eb285caddc03ffba67947f8b86,"Accesso agli atti",,
e085bcbba45a9817ba70e0c68ae0fce4,"Accompagnatori di media montagna",,
005c3cdda2fb992afd65233c67832a19,"Accompagnatori turistici",,
49af6a6a786cb787405aeb9171c3e1b4,"Acque pubbliche",,
a2e32d2438f9e399838cc3cfab144140,"Affari istituzionali",,
43e1ec5c7592306812bdd1c2b1743cd8,"Agenzie di viaggi e turismo",,
6ae89d4346fbdf86576a63d994ef1064,"Aiuti economici",,
070d0be8469e2e60f7b4a4814d1aa6ea,"Aiuti economici per gli studi universitari e l'Alta Formazione Professionale",,
9d82f8c4a77fc64e3fcbe0caf49ad0ae,"Alfabetizzazione motoria",,
abaf55ed07c41988b073fc88ce296af0,"Alfabetizzazione sportiva",,
a500871a5f76ae6afc5a45291ce2d570,"Alta Formazione Professionale",,
5b0574c3fcec0eeaceb34258b7cf28ef,"Alternanza scuola-lavoro",,
56efa25472dfc4c1a38ef0f1bc9765ea,"Altra modulistica",,
ad3344b083662ab32eeea133f55376d6,"Ambiente glaciale e periglaciale",,
a75b744eae357830b095cea99e3b3464,Anagrafe,,
a877579af942bab55af7d7811c4de95a,"Andare a scuola",,
7630678f9512f86729da31e95c2679b6,"Anticorruzione e trasparenza",,
b5164b81c0cab48d2bb44547871ca683,"Apparecchi da gioco",,
c5854c4bfc684c1d2adf29afe19c21f1,"Apprendistato duale",,
11115d5faf7ce3cceb77dbf5ada4e33c,Archivi,,
165e456baf3d3c5fce0354b09b0aa59d,Archivio,,
c8b8390a700006345d90e6f08f1a9b3e,"Arge Alp",,
b4606db351df3a8f126afaaba23941e5,Asili,,
8fd0dc1534285d0e69bacc07815316e5,Assegnazioni,,
78be6279ef179c90a44a460e607e3769,"Assistenti turismo equestre",,
1970e4d4eb9a3b149b563e489835976e,"Associazioni e società sportive",,
d32ea04226f91c7f76c08fc0cc01cefe,"Assunzioni a tempo determinato",,
61fbd3eb1b7902c8f7f874e96513396f,"Assunzioni a tempo indeterminato",,
0a5618808ddede132c516413e2269ce3,"Attività commerciali",,
d913a8b6ef3ce467618f525270b42e6b,"Fiere e mercati",,
186b026c0097a3a9d7e2e3490da351df,"Attività extralavorative e incompatibilità",,
f67a5163cc59405be335300eefc74819,"Autonomia speciale e relazioni con l'Europa",,
ac9345bf338ae9727bc58eeb100735df,Autorizzazione,,
3019717074ca484fadcdcbd8707a78f1,"Autorizzazioni autobus",,
937e62891053a8baf01d5b228531c317,"Autorizzazioni di pubblica sicurezza",,
710be19c804e59731b089ddbed4ebd1c,"Autorizzazioni nautiche",,
e29e7cea85d82dab795d80137aaf5535,"Azioni formative",,
0a4172693c91de7eda6a8cee04abe0b9,"Biglietti e abbonamenti",,
66cebe05416dddcea515b336ebcaec9a,Bilancio,,
f8dc3975766f7fb4e5bc127dd05fe6f1,"Biomassa legnosa",,
6b590497b2bb56d622a13c9ddaeda5b2,"Bisogni educativi speciali",,
f8d59277d7254babe0d5ecbb8629bdd8,Bivacchi,,
e6e3b69cb2abe86391062dc65d417ffd,"Borse di studio",,
1a0bd7a6b98fad275273891fbe69de7d,"Borse di studio sport",,
c1ec0c8b39353dfb2657d55083243d2c,"Botteghe storiche",,
e260360f1abb33691bb7671c4970b145,CLIL,,
65612dfe6287d6bc52c6028fa231e859,CONI,,
93061bbec3c6240e46ce30b0fb517728,"Calendario convocazioni TD",,
