id,ita-IT,ger-DE,eng-GB
a36709015529f6e428fd8b972aeacebb,Persone,Mitglieder,People
5376ded36f7895be423a5efc3d3f791f,Ruoli,Funktionen,Roles
58987cf8c48f5c8f387bc3c1c31df823,"Addetto ufficio di gabinetto del presidente",,
c4960058754a645d9134711cfc887c3b,Assessore,Stadtrat,Assessor
801cbb396eeed458ccd65cd9ff1462af,"Capo ufficio stampa",,
eb436b0fbd2603722fe6d13b40e3ba37,"Commissario straordinario",,
855baf6e093290b9507396f44461f962,Componente,Mitglied,Member
bb9d2812a61b204d8eeb06257035099b,"Consigliere comunale",Stadtviertelrat,Councilor
b8f72dade9132d6b686a4f6c5d7ad1f6,Dipendente,Mitarbeiter,Employee
02857cfd88138598065d676b63a54d54,Direttore,,
555108607c2b5ac882ec440d4e4fd261,"Direttore con incarico speciale",,
c2a8dc1fe2b2e7503be5b274608d0875,"Direttore d'ufficio",,
70b27bbcf9cbb0bcc0e01f9542810ebf,"Direttore d'ufficio - assorbimento incarico",,
5e58924f7152d196fc7e3d5f45fb2047,"Direttore d'ufficio-assorbimento incarico",,
0798d7b60e4271ff14ca1d19fd4bb6ac,"Direttore generale",Generaldirektor,"General Director"
9df3a2aa42dca2ec3b184631b1112ae0,"Direttore presso altra amministrazione",,
9b54325aacbb6c2e6f9ae469790704c3,Dirigente,Direktor,Executive
a3bce188c3d7cf9eb1ac1b474d441e49,"Dirigente ad interim - Assorbimento",,
c21cee893ba12007ea5176a4d3c732ce,"Dirigente ad interim - assorbimento",,
8a60976ac458bbf65df1dce015019a04,"Dirigente ad interim / Assorbimento",,
58add419e0ad5e7661909fef3e8e13d7,"Dirigente con compiti di supporto",,
566573b8b95ca1bee5aad43438696038,"Dirigente di agenzia",,
8f12fed21427571dc65eebc268144589,"Dirigente di servizio",,
c086758ef5dc9ae38089124a221e22f6,"Dirigente di unità di missione semplice",,
4b42f38c529f47ed9eea4f74de277e66,"Dirigente generale",,
0b4e8edd9e62deaece2b127b64d0e53f,"Dirigente generale dell'avvocatura",,
b89d66cf14273fa360032caa844dcf61,"Dirigente generale di agenzia",,
43e2d560e7cf7851fbecab24539e8e1a,"Dirigente generale di dipartimento",,
1586d9e840902aae4d098cda4f2e5065,"Dirigente generale di unità di missione strategica",,
db5e4614f85212232c7b9545baa01580,"Dirigente preposto ad altra struttura",,
c7fafefdd6b7f9907afb4a719a76eac3,"Dirigente presso altro ente",,
037f1e22172fb5a835b2e73152dd0569,"Funzioni specialistiche",,
1a00d13fa9ad319cfc7cfeca924684f7,"Incaricato attività difensoriale",,
026a9650e81c775c6ab718cfa5642df8,"Mansioni superiori",,
47c31566356cc48a4c938a5174461aa0,"Membro della Giunta","Mitglied des Stadrats","Member of the executive commetee"
0c1e49a5a2ef95a58b626cb56284ff1d,"Presidente del Consiglio",Vorsitzender,President
98daab02d45fe02ea0aee97709b5205a,Responsabile,Verantwortlicher,Responsible
a2d6109e9754b11cbf7d5ea8a3d4c10c,"Responsabile di settore operativo",,
e2a4cf54125d6278d967bbc8bdeb775c,"Responsabile ufficio di gabinetto",,
141df9311612c9c1a893619d3668b2ae,"Segretario comunale",Gemeindesekretär,"Municipal secretary"
bdab6ef65a36fc3ed85cb7b36a10024e,"Segretario generale",Generalsekretär,"General secretary"
e2439560100bacfe804be4f09d155684,Sindaco,Bürgermeister,Mayor
262cdf7a11cfaaa0bcd969c5373aa848,"Sostituto direttore d'ufficio",,
e1956c94249b64fdcb43e87a0f7835aa,"Sostituto direttore per assenza superiore a giorni 30",,
ef45e68ca0316ab6e0dbd3b18746fe41,"Sostituto dirigente",,
db24747e3b7cffc558d6208737a8a087,"Sostituto dirigente di agenzia",,
bdda08ce2cff1ade9e49f43e6f20ff7a,Vicepresidente,"Stellvertretender Vorsitzender","Vice president"
af1cf36ff529a4f0f8c1e973155de59c,Vicesegretario,"Stellvertretender Sekretär","Deputy secretary"
d98d1008b91e3bf91fb856f0fbf2f521,Vicesindaco,"Stellvertretender Bürgermeister","Deputy mayor"
1c88a38148ccfa0a99b2443b3f141e05,Sesso,Geschlecht,Gender
3a90beeeceee711dece623019a0fbcd4,Femmina,Weiblich,Female
f176947ee0134ab170116629178260ef,Maschio,Männlich,Male
