id,ita-IT,ger-DE,eng-GB
8df46940933e0d0a87af487409515cd3,"Servizi pubblici","Öffentliche Dienste",
f35e7b5180850018187810877ff4862a,Destinatari,,
d97f92bd5f26ebd64f56b5075532e0c8,Cittadini,Personen,
1328dd04747ab48e7fae3bee34150964,"Enti e associazioni no-profit",,
594ef2df49240a5918c6298690aae043,"Enti pubblici",,
c3d21607c20036939cc006c54b817f1b,"Imprese o liberi professionisti",Unternehmen,
bb73acc3aa402a261f7d7c553726dfd1,"Destinatari - lista libera",,
995dcb4389ff1e03486f150e3a10509a,"Assistenti educatori",,
789eae1720eafac49cde3cbd65e38688,"Coordinatori pedagogici",,
8869ce7f44c599721c9c4668705b9466,"Datori di lavoro",,
daa0520d09fb689766980f47c4f5c58f,"Direttori formazione professionale",,
d25ed815a4e8336e93a08c27b404dd07,"Dirigenti scolastici",,
988c887b88bd85339afbdb603bd14130,"Docenti formazione professionale",,
e8605efd1f4bd1425d036940aa37af2b,"Docenti scuola primaria",,
50a23e1349a6533aa494823f1545a460,"Docenti scuola secondaria di primo grado",,
d74caaa1236665c968e9635bc24f2bdb,"Docenti scuola secondaria di secondo grado",,
38c6613da8b6d7b7fb2eb4d2a24fb7c4,"Educatori nidi d'infanzia",,
a0083c97b83472c0fa73554be84c1097,"Enti di formazione",,
f2ac729cbf4b5f42bf119ad56379f8e8,Genitori,,
33c63f1de7a2517a157875ddcb9adff6,"Genitori formazione professionale",,
d610addbed27010ec14fd9fc535975a0,"Genitori nidi d'infanzia",,
eea5955829f0662abba5ffc8e74299e6,"Genitori scuola infanzia",,
7298a9d26bfa67373d1ed5aaee198f7e,"Genitori scuola primaria",,
d09278653b3b0270403f0401e694dd27,"Genitori scuola secondaria di primo grado",,
ce9f0f2b0b8f2f3bf770ab09b843f3f1,"Genitori scuola secondaria di secondo grado",,
677a10689ee8098049a313dc1eb7d904,"Insegnanti scuola infanzia",,
e0c115ebb6d9c9da59d3d50d731f9600,Lavoratori,,
d4dbeea5138d051a102f9c166b41232d,"Personale A.T.A.",,
e4153ad9d3e3d7cfbdb106cb0d1ef39c,Segreterie,,
07051d51123a8a258978b704e48842e6,Studenti,,
80158540a81d8e13447d4cfdb25f16c1,"Studenti alta formazione professionale",,
01300f2b80a13b8d5c8cbd518bae07d9,"Studenti formazione professionale",,
36171ab801fcd5d3ba466cfa3adfb826,"Studenti scuola primaria",,
12c5aec9e4ac3e73cbe7bd8616cd7cea,"Studenti scuola secondaria di primo grado",,
e574665686e9214df36448dc5fa5e1a9,"Studenti scuola secondaria di secondo grado",,
71f72f9f6796369709f7f3594209c1ff,Input-Output,Input-Output,
029e0921924eb9a07f65eba0e3f1b5ef,"Altra documentazione","Sonstige Dokumentation","Other documents"
dda68eeea0fe479c381f190462bd3397,"Attestazione di identità",Identitätsnachweis,"Identity Declaration"
c8e61936a7a8a1d4762716d944b3381c,"Attestazione di pagamento",Zahlungsbestätigung,"Payment declaration"
96bd78cec74e7487b91cbaba7abad2f3,"Atto autorizzativo",Bewilligungsurkunde,"Authorization Act"
737ffe3ae9cb54be69da71869494f03d,Certificazione,Bescheinigung,Certification
