id,ita-IT,ger-DE,eng-GB
be0feaf1642fcdd74073e0e3c5c607e4,Trasparenza,,
fdfdf330dacb5ae41408777bd5687fe0,"Classificazione Amministrazione trasparente",,
e1988b19d54732f781d97802da1cdf2e,"Altri contenuti",,
e8d6083b81b62e27683a576ddba9c09b,"Attività e procedimenti",,
b16b387fc42a401c81a248d649c22606,"Bandi di concorso",,
b4344e111192c686fbcce8870e6fd207,"Bandi di gara e contratti",,
7e0fc7ab1e116941a6617f5f5438c513,"Beni immobili e gestione patrimonio",,
193d9801de17158287640678a1318f55,Bilanci,,
1cda2ea0dd9b6404ebf16be1dd11a0e1,"Consulenti e collaboratori",,
a4822558eb2116cfbcbfa2257e9a6c30,"Controlli e rilievi amministrazione",,
c544badd87dd3f3155e8a101c3dd81cd,"Controlli sulle imprese",,
f3778e523a56ccb1cd97a686b828e872,"Disposizioni generali",,
1944a72bac2397855167d20cedf8c779,"Enti controllati",,
5eb1dbbcce1c06cd2497caa3cf9aed73,"Informazioni ambientali",,
79c7d35646b16eb85e60b788ee013411,"Interventi straordinari e di emergenza",,
85e980220f3079363cb34990a9c575e3,"Opere pubbliche",,
91e23e6d519c941e045f4bdb298912e9,Organizzazione,,
3c5a36698366df48881f327e4ffb6d79,"Pagamenti amministrazione",,
c744cac9146d62e6957dcf237d9508eb,Performance,,
55b7b741d79befcced795048dd94f705,Personale,,
6acbdac75129babffaa35de3b4846c8b,"Pianificazione e governo del territorio",,
e62588eed559a45574051954a00cd144,Provvedimenti,,
9b887ddfe19a2192e42faec332940746,"Servizi erogati",,
7efa3b0101ac14b25199f5ea2167e73e,"Sovvenzioni contributi sussidi vantaggi economici",,
a7da47760135da669970487f41277ec4,"Strutture sanitarie private accreditate",,
